twin_id	sample_id	run_accession	country	continent	fake_VISNO
P1	ERR911953	ERR911953	United Kingdom	Europe	1
P1	ERR912182	ERR912182	United Kingdom	Europe	2
P10	ERR912077	ERR912077	United Kingdom	Europe	1
P10	ERR911962	ERR911962	United Kingdom	Europe	2
P100	ERR912056	ERR912056	United Kingdom	Europe	1
P100	ERR912195	ERR912195	United Kingdom	Europe	2
P101	ERR912153	ERR912153	United Kingdom	Europe	1
P101	ERR912121	ERR912121	United Kingdom	Europe	2
P102	ERR912058	ERR912058	United Kingdom	Europe	2
P102	ERR912057	ERR912057	United Kingdom	Europe	1
P103	ERR912154	ERR912154	United Kingdom	Europe	1
P103	ERR912059	ERR912059	United Kingdom	Europe	2
P104	ERR912060	ERR912060	United Kingdom	Europe	1
P104	ERR912061	ERR912061	United Kingdom	Europe	2
P105	ERR912196	ERR912196	United Kingdom	Europe	2
P105	ERR912062	ERR912062	United Kingdom	Europe	1
P106	ERR912156	ERR912156	United Kingdom	Europe	2
P106	ERR912155	ERR912155	United Kingdom	Europe	1
P107	ERR912063	ERR912063	United Kingdom	Europe	1
P107	ERR912197	ERR912197	United Kingdom	Europe	2
P108	ERR912064	ERR912064	United Kingdom	Europe	1
P108	ERR912065	ERR912065	United Kingdom	Europe	2
P109	ERR912157	ERR912157	United Kingdom	Europe	2
P109	ERR912198	ERR912198	United Kingdom	Europe	1
P11	ERR911964	ERR911964	United Kingdom	Europe	2
P11	ERR911963	ERR911963	United Kingdom	Europe	1
P110	ERR912066	ERR912066	United Kingdom	Europe	1
P110	ERR912158	ERR912158	United Kingdom	Europe	2
P111	ERR912160	ERR912160	United Kingdom	Europe	2
P111	ERR912159	ERR912159	United Kingdom	Europe	1
P112	ERR912162	ERR912162	United Kingdom	Europe	2
P112	ERR912161	ERR912161	United Kingdom	Europe	1
P113	ERR912163	ERR912163	United Kingdom	Europe	2
P113	ERR912067	ERR912067	United Kingdom	Europe	1
P114	ERR912199	ERR912199	United Kingdom	Europe	1
P114	ERR912164	ERR912164	United Kingdom	Europe	2
P115	ERR912068	ERR912068	United Kingdom	Europe	2
P115	ERR912165	ERR912165	United Kingdom	Europe	1
P116	ERR912200	ERR912200	United Kingdom	Europe	2
P116	ERR912166	ERR912166	United Kingdom	Europe	1
P117	ERR912070	ERR912070	United Kingdom	Europe	2
P117	ERR912069	ERR912069	United Kingdom	Europe	1
P118	ERR912168	ERR912168	United Kingdom	Europe	2
P118	ERR912167	ERR912167	United Kingdom	Europe	1
P119	ERR912169	ERR912169	United Kingdom	Europe	1
P119	ERR912170	ERR912170	United Kingdom	Europe	2
P12	ERR911965	ERR911965	United Kingdom	Europe	1
P12	ERR912078	ERR912078	United Kingdom	Europe	2
P120	ERR912171	ERR912171	United Kingdom	Europe	1
P120	ERR912172	ERR912172	United Kingdom	Europe	2
P121	ERR912174	ERR912174	United Kingdom	Europe	2
P121	ERR912173	ERR912173	United Kingdom	Europe	1
P122	ERR912175	ERR912175	United Kingdom	Europe	1
P122	ERR912176	ERR912176	United Kingdom	Europe	2
P123	ERR912177	ERR912177	United Kingdom	Europe	1
P123	ERR912071	ERR912071	United Kingdom	Europe	2
P124	ERR912201	ERR912201	United Kingdom	Europe	1
P124	ERR912178	ERR912178	United Kingdom	Europe	2
P125	ERR912179	ERR912179	United Kingdom	Europe	1
P125	ERR912072	ERR912072	United Kingdom	Europe	2
P126	ERR912180	ERR912180	United Kingdom	Europe	1
P126	ERR912122	ERR912122	United Kingdom	Europe	2
P127	ERR912181	ERR912181	United Kingdom	Europe	1
P127	ERR912202	ERR912202	United Kingdom	Europe	2
P13	ERR912080	ERR912080	United Kingdom	Europe	2
P13	ERR912079	ERR912079	United Kingdom	Europe	1
P14	ERR911966	ERR911966	United Kingdom	Europe	1
P14	ERR912127	ERR912127	United Kingdom	Europe	2
P15	ERR911967	ERR911967	United Kingdom	Europe	1
P15	ERR911968	ERR911968	United Kingdom	Europe	2
P16	ERR911969	ERR911969	United Kingdom	Europe	1
P17	ERR911970	ERR911970	United Kingdom	Europe	2
P17	ERR912128	ERR912128	United Kingdom	Europe	1
P18	ERR911971	ERR911971	United Kingdom	Europe	1
P18	ERR912129	ERR912129	United Kingdom	Europe	2
